0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:27:41 +0100] "GET /lcm-reporting/faces/hello.xhtml HTTP/1.1" 500 13593
127.0.0.1 - - [18/Mar/2015:08:29:56 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:29:59 +0100] "GET /lcm-reporting/ HTTP/1.1" 500 12787
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:25 +0100] "GET /lcm-reporting/ HTTP/1.1" 200 10216
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:25 +0100] "GET /lcm-reporting/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:25 +0100] "GET /lcm-reporting/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:25 +0100] "GET /lcm-reporting/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:26 +0100] "GET /lcm-reporting/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:26 +0100] "GET /lcm-reporting/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:26 +0100] "GET /lcm-reporting/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:26 +0100] "GET /lcm-reporting/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:26 +0100] "GET /lcm-reporting/faces/javax.faces.resource/images/ui-icons_616161_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:26 +0100] "GET /lcm-reporting/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:31:26 +0100] "GET /lcm-reporting/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:40:25 +0100] "GET /lcm-reporting/ HTTP/1.1" 200 10233
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:40:25 +0100] "GET /lcm-reporting/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:40:25 +0100] "GET /lcm-reporting/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:40:25 +0100] "GET /lcm-reporting/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:40:25 +0100] "GET /lcm-reporting/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2015:08:40:25 +0100] "GET /lcm-reporting/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
